"bsn","isbn","bsn-normalized","isbnnormalized"
23,3905057069,23,"0003905057069"
23,9783905057065,23,"9783905057065"
538,8020005358,538,"0008020005358"
538,8070669098,538,"0008070669098"
538,9788020005359,538,"9788020005359"
538,9788070669099,538,"9788070669099"
686,714119296,686,"0000714119296"
686,9780714119298,686,"9780714119298"
940,8391825078,940,"0008391825078"
940,9788391825075,940,"9788391825075"
3067,1854170384,3067,"0001854170384"
3067,185417045710,3067,"0185417045710"
3067,9781854170385,3067,"9781854170385"
3098,1854170392,3098,"0001854170392"
3098,185417045710,3098,"0185417045710"
3098,9781854170392,3098,"9781854170392"
3187,1854170422,3187,"0001854170422"
3187,185417045710,3187,"0185417045710"
3187,9781854170422,3187,"9781854170422"
3396,1854170449,3396,"0001854170449"
3396,185417045710,3396,"0185417045710"
3396,9781854170446,3396,"9781854170446"
3401,472035215,3401,"0000472035215"
3401,9780472035212,3401,"9780472035212"
3810,3805318103,3810,"0003805318103"
3810,9783805318105,3810,"9783805318105"
4051,198644043,4051,"0000198644043"
4051,9780198644040,4051,"9780198644040"
4577,3447056126,4577,"0003447056126"
4577,9783447056120,4577,"9783447056120"
5418,901212601,5418,"0000901212601"
5797,38053060831,5797,"0038053060831"
5797,38053255762,5797,"0038053255762"
5797,97838053060891,5797,"97838053060891"
5797,97838053255782,5797,"97838053255782"
5849,7500424817,5849,"0007500424817"
5849,9787500424819,5849,"9787500424819"
6067,3700139624,6067,"0003700139624"
6067,9783700139621,6067,"9783700139621"
6514,876619375,6514,"0000876619375"
6514,9780876619377,6514,"9780876619377"
6537,3447062568,6537,"0003447062568"
6537,3447105828,6537,"0003447105828"
6537,3805324863,6537,"0003805324863"
6537,3805327846,6537,"0003805327846"
6537,9783447062565,6537,"9783447062565"
6537,9783447105828,6537,"9783447105828"
6537,9783805324861,6537,"9783805324861"
6537,9783805327848,6537,"9783805327848"
7146,8301012994,7146,"0008301012994"
7146,9788301012991,7146,"9788301012991"
7352,901212415,7352,"0000901212415"
7531,385033893,7531,"0000385033893"
7531,9780385033893,7531,"9780385033893"
8082,714109576,8082,"0000714109576"
8082,9780714109572,8082,"9780714109572"
8519,856980609,8519,"0000856980609"
8971,520247671,8971,"0000520247671"
8971,520251261,8971,"0000520251261"
8971,9780520247673,8971,"9780520247673"
8971,9780520251267,8971,"9780520251267"
9306,856980870,9306,"0000856980870"
9306,9780856980879,9306,"9780856980879"
9323,313225249,9323,"0000313225249"
9323,9780313225246,9323,"9780313225246"
10702,710304609,10702,"0000710304609"
10702,9780710304605,10702,"9780710304605"
11098,901212342,11098,"0000901212342"
11098,9780901212344,11098,"9780901212344"
11636,714117048,11636,"0000714117048"
11636,9780714117041,11636,"9780714117041"
11711,747801967,11711,"0000747801967"
11711,9780747801962,11711,"9780747801962"
11763,2950104614,11763,"0002950104614"
11763,9782950104618,11763,"9782950104618"
11845,3905014319,11845,"0003905014319"
11845,9783905014310,11845,"9783905014310"
11974,894683039,11974,"0000894683039"
11974,3791327356,11974,"0003791327356"
11974,9780894683039,11974,"9780894683039"
11974,9783791327358,11974,"9783791327358"
12125,2724700694,12125,"0002724700694"
12125,9782724700695,12125,"9782724700695"
12195,747801428,12195,"0000747801428"
12195,9780747801429,12195,"9780747801429"
12861,60906316,12861,"0000060906316"
12861,9780060906313,12861,"9780060906313"
13209,2724702476,13209,"0002724702476"
13209,9782724702477,13209,"9782724702477"
13321,714119032,13321,"0000714119032"
13321,9780714119038,13321,"9780714119038"
13852,946897972,13852,"0000946897972"
13852,9780946897971,13852,"9780946897971"
14144,8391825027,14144,"0008391825027"
14144,9788391825020,14144,"9788391825020"
14168,19001881041,14168,"0019001881041"
14168,97818421725442,14168,"97818421725442"
14168,97819001881041,14168,"97819001881041"
14171,970059108,14171,"0000970059108"
14171,9780970059109,14171,"9780970059109"
14412,27247020341,14412,"0027247020341"
14412,27247020422,14412,"0027247020422"
14412,27247020773,14412,"0027247020773"
14412,97827247020331,14412,"97827247020331"
14412,97827247020402,14412,"97827247020402"
14412,97827247020713,14412,"97827247020713"
14501,3535015073,14501,"0003535015073"
14501,9783535015077,14501,"9783535015077"
14669,906014026,14669,"0000906014026"
14669,9780906014028,14669,"9780906014028"
15133,856980625,15133,"0000856980625"
15133,9780856980626,15133,"9780856980626"
15207,405022409,15207,"0000405022409"
15207,9780405022401,15207,"9780405022401"
15375,405022417,15375,"0000405022417"
15375,9780405022418,15375,"9780405022418"
15427,199120064,15427,"0000199120064"
15427,9780199120062,15427,"9780199120062"
15525,801842514,15525,"0000801842514"
15525,9780801842511,15525,"9780801842511"
15531,405022530,15531,"0000405022530"
15531,9780405022531,15531,"9780405022531"
15648,8569813972,15648,"0008569813972"
15648,97808569813952,15648,"97808569813952"
15648,97808569820641,15648,"97808569820641"
16435,856980617,16435,"0000856980617"
16435,9780856980619,16435,"9780856980619"
16522,60130113,16522,"0000060130113"
16590,18793880301,16590,"0018793880301"
16590,18793880492,16590,"0018793880492"
16590,18793880573,16590,"0018793880573"
16590,97818793880311,16590,"97818793880311"
16642,9124314471,16642,"0009124314471"
16642,9789124314477,16642,"9789124314477"
16646,878463038,16646,"0000878463038"
16697,405022492,16697,"0000405022492"
16697,4050225061,16697,"0004050225061"
16697,4050225142,16697,"0004050225142"
16697,9780405022494,16697,"9780405022494"
16732,405022387,16732,"0000405022387"
16732,9780405022388,16732,"9780405022388"
17421,856920096,17421,"0000856920096"
17421,"085692010X",17421,"085692010X"
17421,9780856920097,17421,"9780856920097"
17421,9780856920103,17421,"9780856920103"
17452,394174100,17452,"0000394174100"
17452,9780394174105,17452,"9780394174105"
17532,9189242149,17532,"0009189242149"
17532,9789189242142,17532,"9789189242142"
17606,"975807170X",17606,"975807170X"
17606,9789758071708,17606,"9789758071708"
17686,801480299,17686,"0000801480299"
17686,9780801480294,17686,"9780801480294"
17787,900416351,17787,"0000900416351"
17787,9780900416354,17787,"9780900416354"
17808,2724701992,17808,"0002724701992"
17808,27247020182,17808,"0027247020182"
17808,9782724701999,17808,"9782724701999"
18055,195002679,18055,"0000195002679"
18055,9780195002676,18055,"9780195002676"
18134,"019504066X",18134,"019504066X"
18134,9780195040661,18134,"9780195040661"
18704,3927552364,18704,"0003927552364"
18704,9783927552364,18704,"9783927552364"
18941,3447031573,18941,"0003447031573"
18941,9783447031578,18941,"9783447031578"
18953,9772350777,18953,"0009772350777"
18953,9789772350773,18953,"9789772350773"
19992,405022522,19992,"0000405022522"
19992,9780405022524,19992,"9780405022524"
20045,3515025405,20045,"0003515025405"
20045,9783515025409,20045,"9783515025409"
20276,2724702182,20276,"0002724702182"
20276,27247021901,20276,"0027247021901"
20276,27247022042,20276,"0027247022042"
20276,9782724702187,20276,"9782724702187"
20276,97827247021941,20276,"97827247021941"
20276,97827247022002,20276,"97827247022002"
20296,707302676,20296,"0000707302676"
20406,3447014539,20406,"0003447014539"
20406,9783447014533,20406,"9783447014533"
21751,500050880,21751,"0000500050880"
22634,"085698177X",22634,"085698177X"
22634,978085698177,22634,"0978085698177"
22634,9780856981777,22634,"9780856981777"
22668,"344705591X1",22668,"344705591X1"
22668,"344706742X2",22668,"344706742X2"
22668,97834470559181,22668,"97834470559181"
22668,97834470674232,22668,"97834470674232"
23038,9783700137870,23038,"9783700137870"
23124,9783700136026,23124,"9783700136026"
